N,P,K,temperature,humidity,ph,rainfall,label
104,69,97,26.26,74.23,6.48,226.39,apple
65,66,77,34.55,75.42,7.22,215.17,apple
109,41,81,24.27,80.52,5.82,187.01,apple
85,77,53,21.79,76.72,7.5,113.67,apple
109,68,45,33.6,64.74,7.18,137.51,apple
70,59,95,25.85,70.71,5.72,180.61,apple
77,53,95,34.86,73.13,5.56,206.79,apple
90,52,72,24.62,81.0,6.76,231.24,apple
93,54,48,30.78,74.62,6.81,89.97,apple
77,66,84,20.56,64.77,7.32,227.45,apple
101,68,68,22.88,85.98,6.21,199.6,apple
95,63,61,33.78,86.93,5.52,94.94,apple
84,79,63,32.61,65.23,6.44,244.87,apple
93,66,46,21.7,64.39,7.32,214.07,apple
110,46,74,25.59,84.64,6.01,203.22,apple
99,51,45,21.93,60.58,6.32,209.27,apple
119,45,98,32.82,66.06,6.23,103.12,apple
77,49,86,34.28,75.56,6.22,116.37,apple
67,80,60,29.15,83.57,6.62,105.43,apple
64,43,94,29.54,65.79,6.58,246.74,apple
73,52,66,32.11,71.52,7.46,235.05,apple
97,78,77,22.7,86.24,6.28,117.81,apple
113,57,62,22.12,80.12,6.05,218.64,apple
62,70,71,30.18,89.84,7.47,147.86,apple
112,43,56,34.4,66.9,7.43,180.09,apple
87,80,75,26.23,76.2,5.84,169.97,apple
97,65,43,26.13,86.38,6.12,162.56,apple
75,52,72,24.1,73.79,7.26,86.7,apple
79,79,72,21.21,85.36,5.84,136.51,apple
86,43,80,27.0,73.76,6.14,140.2,apple
76,47,81,27.69,89.89,6.02,139.44,apple
93,64,91,26.7,64.7,6.77,210.92,apple
63,69,57,29.77,79.06,5.93,121.62,apple
100,80,74,20.4,68.29,5.61,243.71,apple
67,43,94,32.11,84.14,7.13,159.99,apple
116,65,81,31.11,85.9,5.79,163.47,apple
100,71,77,30.08,74.29,7.24,197.66,apple
68,65,90,30.0,77.83,6.47,113.11,apple
79,43,61,30.57,69.99,6.1,142.47,apple
95,43,94,25.5,76.86,6.82,129.32,apple
113,73,89,24.49,89.86,5.79,136.68,apple
98,52,66,21.97,82.15,6.26,150.34,apple
115,70,93,30.49,74.49,7.41,144.04,apple
70,62,61,24.54,82.06,6.03,168.61,apple
61,70,93,31.71,67.16,6.99,139.61,apple
116,76,84,20.37,64.69,6.77,240.42,apple
79,42,91,22.21,73.94,6.85,178.22,apple
108,63,43,30.21,74.41,7.14,172.07,apple
106,79,75,26.14,75.47,5.6,97.58,apple
119,48,60,20.16,61.49,6.58,108.41,apple
110,53,48,34.53,77.73,6.06,196.67,apple
73,56,67,28.62,78.57,6.4,228.5,apple
101,50,66,20.86,65.11,5.88,137.04,apple
88,57,67,32.87,71.15,6.64,235.75,apple
104,69,87,28.82,67.93,5.61,142.88,apple
118,51,70,33.04,81.88,7.12,141.34,apple
90,60,86,25.49,81.08,6.39,161.02,apple
109,41,93,27.67,78.85,7.04,127.3,apple
93,80,61,33.22,73.29,7.43,150.21,apple
112,55,51,26.17,71.64,6.16,230.6,apple
113,47,41,21.62,62.44,6.67,158.06,apple
82,76,95,28.96,85.59,6.66,159.07,apple
77,56,43,32.73,77.8,6.63,192.48,apple
61,40,64,23.88,81.02,7.4,135.32,apple
66,61,57,28.39,84.28,6.52,112.73,apple
77,61,63,25.62,69.27,6.3,132.35,apple
70,57,51,32.62,72.25,7.14,151.05,apple
112,41,62,26.52,89.8,5.55,118.48,apple
77,63,51,31.47,68.37,6.59,196.47,apple
115,63,82,29.36,67.26,5.79,185.87,apple
74,41,81,32.05,65.97,6.04,156.74,apple
119,59,100,22.43,85.52,5.88,108.76,apple
69,52,49,21.09,74.79,6.23,238.3,apple
107,45,65,32.41,83.79,6.0,81.83,apple
97,42,55,25.68,88.68,7.0,101.96,apple
98,57,71,33.53,65.62,7.07,147.86,apple
86,67,44,24.6,79.72,6.14,202.9,apple
72,40,87,24.6,78.64,7.04,245.43,apple
113,46,53,34.5,67.31,7.36,196.71,apple
88,40,77,31.86,78.98,6.6,243.59,apple
89,75,76,21.09,82.35,5.82,193.99,apple
66,55,88,28.29,81.86,6.07,134.59,apple
119,73,95,32.7,67.15,6.63,210.84,apple
70,45,73,24.34,61.62,6.83,125.79,apple
73,47,86,33.65,81.49,6.03,95.92,apple
96,42,56,32.65,84.51,6.54,218.08,apple
115,59,97,22.76,68.39,7.46,123.51,apple
93,67,74,21.34,84.31,7.42,137.25,apple
75,42,93,24.29,77.66,6.7,118.24,apple
88,69,65,27.51,69.44,6.46,177.39,apple
119,76,74,29.8,65.26,6.16,202.04,apple
69,60,75,28.91,85.85,7.5,199.94,apple
73,63,62,27.78,85.9,5.86,121.45,apple
61,58,54,20.67,88.25,5.88,227.97,apple
65,73,96,25.06,76.81,5.5,140.7,apple
63,47,41,20.58,65.07,6.66,185.45,apple
86,76,59,28.05,83.32,6.32,221.8,apple
61,44,51,32.55,62.07,6.31,81.63,apple
70,69,47,27.64,60.33,6.96,137.29,apple
109,77,95,22.85,76.45,6.81,217.99,apple
83,76,94,28.63,71.64,7.49,186.32,apple
120,52,78,20.67,84.39,7.11,237.95,apple
117,73,43,26.8,69.55,7.29,249.6,apple
97,42,42,29.57,70.01,6.15,161.79,apple
70,57,43,34.6,73.46,7.09,194.28,apple
78,42,52,30.42,89.52,6.41,89.41,apple
100,80,64,27.84,80.6,6.58,229.56,apple
93,53,82,26.93,82.11,5.62,84.67,apple
68,54,67,33.65,87.94,7.05,92.15,apple
86,63,79,28.82,70.7,6.15,144.93,apple
99,69,42,31.66,89.25,6.73,224.31,apple
96,59,81,26.17,60.07,7.33,183.86,apple
74,66,46,22.46,89.28,7.41,177.34,apple
73,59,43,33.93,88.91,6.87,211.61,apple
113,67,78,22.23,78.25,5.87,179.68,apple
115,74,52,31.76,79.4,6.4,216.09,apple
66,46,96,21.48,76.32,6.07,181.36,apple
77,75,74,28.54,68.38,5.69,144.01,apple
86,43,67,25.18,70.35,7.05,234.21,apple
73,50,52,27.44,63.06,6.45,145.85,apple
134,77,59,21.91,83.59,5.97,209.57,arecanut
110,46,66,21.57,73.93,5.71,245.89,arecanut
89,74,52,20.08,86.4,5.68,168.33,arecanut
88,56,57,29.95,89.49,5.38,213.79,arecanut
134,45,98,24.76,78.89,5.58,273.95,arecanut
98,50,75,28.54,76.11,5.64,189.14,arecanut
120,56,52,32.43,78.42,5.42,166.99,arecanut
139,66,48,25.23,88.37,5.5,186.17,arecanut
109,48,84,23.76,93.34,6.29,293.62,arecanut
86,59,73,33.38,76.59,6.1,293.81,arecanut
100,61,83,26.94,71.26,6.36,244.62,arecanut
130,70,81,22.92,75.49,6.1,216.38,arecanut
148,40,52,21.2,88.54,5.55,185.25,arecanut
96,66,66,24.19,81.51,6.35,206.1,arecanut
125,46,62,24.36,82.15,5.74,214.48,arecanut
99,53,48,29.99,86.54,6.46,270.47,arecanut
110,48,46,21.97,80.61,5.8,272.58,arecanut
